display_location,avg_predicted_violations,max_predicted_violations,latitude,longitude,risk_level,avg_blocking_severity,congestion_impact_score,officers,tow_trucks
"BTP114 - KR Road Junction, Near JSS",1.8890508847879635,2.2134903996731436,12.924322724413159,77.57493878339055,Low,1.7394642857142857,27.8,1,0
"BTP115 - Sahasra Hospital, Jayanagar",1.6599715246703795,2.15853401047444,12.9172537672404,77.57373717884926,Low,1.9633566433566434,69.8,1,0
"BTP117 - 9th Cross, Kanakapura Road",1.892926057251038,2.427628186383933,12.912369017083334,77.57325361166666,Low,1.89725,56.2,1,0
BTP118 - Basappa Circle,2.0454073084692883,2.3985964404438254,12.95812127771639,77.57755133996316,Medium,1.9183793738489872,60.4,2,1
BTP119 - Minerva Circle,1.7568110557593748,1.9989263645164366,12.955121484615383,77.58028918816568,Low,1.8131952662721893,39.6,1,0
BTP120 - Lalbagh Main Gate Junction,1.648255715713481,2.2504476402289697,12.954161373619632,77.58463449325154,Low,1.9700613496932515,70.4,1,0
BTP121 - KH Circle,1.4760260897310538,1.7377349058809282,12.951919158666666,77.59041085733334,Low,1.8630666666666669,47.3,1,0
BTP122 - Siddapura Junction,1.8230296363456977,2.178350629293795,12.948450746153846,77.59290339923078,Low,1.767923076923077,33.7,1,0
"BTP123 - 10th Cross, Wilson Garden",1.8590453437790087,2.5337034715683844,12.94602542140089,77.59606288539078,Low,1.6680761523046093,21.3,1,0
BTP126 - Dairy Circle,1.4984433956902987,1.8557110447418563,12.93676480418251,77.60206114106464,Low,2.206425855513308,89.9,1,0
"BTP127 - Sagar Hospital, Jayanagar",1.7079265519231135,1.9998149693826885,12.927885122535212,77.59831607464788,Low,2.4228169014084506,95.9,1,0
BTP128 - Gorappanapalya Junction,1.610237210585488,1.9854774321083872,12.920537053846154,77.60039431346154,Low,1.669423076923077,21.9,1,0
BTP130 - GD Mara Junction,3.9292341357058795,5.287741879853781,12.908068221291447,77.6008194026178,High,1.399476439790576,2.4,3,1
BTP132 - Anepalya Junction,2.04871668607228,2.3929412485691524,12.951218263265307,77.60693767210884,Medium,1.8719727891156464,49.7,2,1
BTP133 - Adugodi Junction,1.4985124485020933,1.7459995310847298,12.941890507462688,77.60854312089552,Low,1.858358208955224,46.2,1,0
BTP134 - Mico Bande,1.3272184786396735,1.668031979491134,12.945716540540541,77.6025567972973,Low,2.2194594594594594,91.7,1,0
BTP135 - UCO Bank Junction,2.503661223183923,3.5492085879124584,12.935614563434344,77.6149854229293,Medium,1.589787878787879,13.0,2,1
BTP136 - Hosur-Tavarkere Road Junction,1.7484682019505233,2.2727036239342078,12.93427818317757,77.60855998068536,Low,2.134080996884735,84.0,1,0
BTP137 - Madiwala Traffic PS Junction,1.837204632132617,2.8445579337488995,12.923019400893445,77.62004467537922,Low,2.070842105263158,79.9,1,0
BTP138 - Sarjapur Road Check Post,1.4041175856037478,1.8727828281591181,12.927108226774553,77.61689196143901,Low,2.0345714285714287,77.5,1,0
BTP140 - Madiwala Check Post,1.7617511823386252,2.360620532235158,12.932477546540882,77.61356276006289,Low,2.0038993710691826,74.0,1,0
BTP141 - Palmgroove Junction,1.4526679149935795,1.6407233911290944,12.968467868292683,77.61378977317072,Low,1.97219512195122,71.0,1,0
BTP142 - Lower Agram Road Junction,2.2511525627354403,2.4967216522257427,12.962000976190476,77.61538746190476,Medium,1.9914285714285715,72.2,2,1
BTP143 - ASC Junction,1.7274750444660643,2.807776710827497,12.969395047619049,77.61974513333332,Low,3.240476190476191,100.0,1,0
BTP144 - Commando Hospital Junction,1.4860428384744147,1.5060878785706064,12.968701750000001,77.62630552499999,Low,2.2575000000000003,92.9,1,0
"BTP145 - Sri Hatti Maramma Circle, Domluru",1.9325468830989083,2.2302670554067343,12.961289213222164,77.63616230302713,Medium,1.7645,32.5,2,1
BTP146 - Domlur Water Tank,1.7539865580126075,2.0800955324919324,12.960501909016394,77.63876197213115,Low,1.7769672131147543,34.9,1,0
"BTP148 - 17th Main, Doopanahalli Bus Stop",2.098374466072817,3.203542780375928,12.963617460901663,77.6422329805704,Medium,1.9378492935635794,65.7,2,1
BTP154 - Itmadu Junction,1.2680961076655524,1.383624584213309,12.930232485714285,77.54541242857144,Low,2.6357142857142857,97.6,1,0
BTP155 - Katriguppe Junction,2.9814863362691097,3.5356066365554764,12.926698476490067,77.55074283940397,High,1.5045364238410597,7.1,3,1
BTP156 - Kamakya Junction,1.3119124890613927,1.462508004774946,12.923800053611933,77.55335398807121,Low,2.3291666666666666,93.5,1,0
BTP157 - Kadirenahalli Cross,1.2850701252713317,1.3824565608003887,12.912996066666667,77.56706291333333,Low,1.95,68.6,1,0
BTP158 - Devegowda Petrol Bunk,1.618539544881375,1.8939911976933703,12.921269069483158,77.5603682596793,Low,2.2085714285714286,91.1,1,0
"BTP159 - JP Nagar Metro, ORR",1.3953717426613668,1.5962578042420716,12.906231053950618,77.57317212135803,Low,1.8912345679012346,54.4,1,0
"BTP161 - 15th Cross, 35th Main, JP Nagar",1.268904559753209,1.3862540078153542,12.906493766666665,77.577648025,Low,2.2075,90.5,1,0
"BTP163 - 16th Main Road, BTM Layout",2.5265067157053576,2.914975543983338,12.915033824836602,77.6085400879085,Medium,1.6102287581699346,15.4,2,1
"BTP164 - 29th Main Road, BTM Layout",2.449650871782261,2.9847864275192877,12.915922940343162,77.61541795166417,Medium,1.6225,16.6,2,1
BTP166 - Coffee Board Junction,1.481904059250291,1.6567634225223644,12.984938339473684,77.59433587543859,Low,1.7894736842105263,37.3,1,0
BTP167 - JC Road Junction,2.1269807130530807,2.706114604031462,12.958270949400605,77.5812765294281,Medium,2.14791277258567,85.2,2,1
"BTP168 - MSR Building, JC Road",2.0035467300942105,3.4761611621116355,12.961178251219511,77.5842871495935,Medium,2.1621138211382114,85.8,2,1
"BTP170 - Dr. Bheem Rao Palace, Chord Road",2.626643825790258,3.182109804134228,12.990418405588013,77.55129666860628,Medium,2.347254098360656,94.7,2,1
BTP171 - Indian Express (Balekundri),1.823818047301409,2.0410790257252382,12.986096781818182,77.59868053535354,Low,1.946060606060606,68.0,1,0
BTP172 - Nanjappa Circle,4.388997119273556,5.99342076026714,12.961708158087202,77.59946824177216,High,1.390351617440225,1.8,3,1
BTP173 - TMC,1.5135191460678847,1.755631946377835,12.982320013533833,77.59870472105264,Low,1.9985714285714287,73.4,1,0
"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",1.6936007137693372,2.033507143929381,12.917297671428571,77.5783653173913,Low,1.930745341614907,62.7,1,0
"BTP177 - Aurobindo Circle, ORR",1.4872164781278845,1.728514519797339,12.916611210650888,77.58522310177514,Low,1.9244970414201183,62.1,1,0
"BTP178 - 18th Main, Marenahalli",1.3041769591792505,1.3917448538335364,12.91689827142857,77.58956701428572,Low,2.357142857142857,95.3,1,0
"BTP179 - 9th Block, 28th Main, Jayanagar",2.1510964358771814,3.052364252788144,12.916983268749998,77.59499624625,Medium,1.74775,29.0,2,1
BTP180 - Swagath Poornima Theatre,1.5984906923105868,2.312060742699919,12.960481449159664,77.58728192941176,Low,2.178865546218488,88.2,1,0
BTP181 - Bileka Halli Junction,1.3188563186573101,1.4380707788239357,12.9019944125,77.60112085,Low,1.81875,40.8,1,0
"BTP182 - 19th Main Junction, Rajajinagar",3.4489035499919547,4.859370118776488,12.998961811914375,77.55086787097474,High,1.8683989726027397,48.5,3,1
BTP184 - Lalbagh West Gate,2.1280984559899805,2.536096955038942,12.948431843434344,77.58017148585859,Medium,1.6442929292929294,18.3,2,1
BTP185 - RV Teachers College,1.8312478665112848,2.1455962638099746,12.944620242592592,77.58062071851852,Low,2.036111111111111,78.1,1,0
"BTP186 - 9th Cross, 4th Main, Jayanagar",4.171883893598624,5.411372593714409,12.939347337107495,77.58306416674564,High,1.5721951219512196,10.7,3,1
BTP187 - South End Circle,1.5516061569729909,2.067907661806253,12.937353674534268,77.58199584693376,Low,1.7478260869565219,29.6,1,0
"BTP188 - 27th Cross, 4th Main, Jayanagar",3.4802278320757645,4.332460690704439,12.929678117578124,77.58056281445313,High,1.4414843750000002,3.0,3,1
"BTP189 - New Diagonal Road, Jayanagar",2.370124425841064,2.7149985864242683,12.928088826806084,77.58068386501901,Medium,1.5580798479087454,8.9,2,1
"BTP190 - 36th Cross, 4th Main, Jayanagar",1.9274965346874868,2.199999670913145,12.922657641029149,77.5812804149072,Medium,1.4773728813559324,6.5,2,1
"BTP191 - 40th Cross, 4th Main, Jayanagar",1.3892253683574947,1.5924793883791266,12.920058869230768,77.58218939120879,Low,1.828021978021978,43.8,1,0
BTP192 - Urvashi Theater,1.5239158204122951,1.8639640864629285,12.956458222813035,77.58602209005146,Low,1.7452487135506003,28.4,1,0
BTP193 - Vasavi Circle,1.8736015251758122,2.2324767792505593,12.949692636337348,77.57682725461063,Low,1.7359223300970874,27.2,1,0
BTP196 - Sarakki Main Road,1.7740073765190385,2.0666158404263983,12.911092350105825,77.57810690285714,Low,1.8851428571428572,52.1,1,0
"BTP197 - 9th Cross, 24th Main, JP Nagar",1.7881404610519407,2.021910345479499,12.911649257920791,77.58617407673268,Low,1.937277227722772,65.1,1,0
"BTP198 - 9th Cross, 8th Main, JP Nagar",1.3952733709942864,1.5005410059971593,12.910182857142857,77.5956611,Low,1.7142857142857142,24.9,1,0
"BTP200 - 15th Cross, 33rd Main, JP Nagar",1.3102945683948601,1.5078649782947693,12.90632075,77.58140056538461,Low,1.8926923076923077,55.0,1,0
"BTP202 - East End Main Road, Jayanagar",2.162287396163809,2.9034363225409785,12.917146362068966,77.59691362068966,Medium,1.9329310344827586,63.9,2,1
BTP203 - RRMR Junction,1.9159804754864476,4.375299492285492,12.967407398347108,77.59355071239669,Low,2.16801652892562,86.4,1,0
"BTP204 - ESI Hospital, Rajajinagar",2.7779488633092995,3.4384081524042864,12.990390761914062,77.55373549921875,High,2.02306640625,76.9,3,1
BTP205 - Modi Hospital Junction,2.503359611282063,3.241015310402781,12.99749270104206,77.54689772769359,Medium,1.8190845886442644,41.4,2,1
"BTP206 - Shankara Mutt Circle, Vijayanagar",2.4915298814136144,3.2270724188335196,12.99863382254902,77.54146874738562,Medium,1.8586601307189543,46.7,2,1
BTP207 - 8th Main Road Basaveshwara Nagar,2.740785186526715,3.458711414944662,12.991908099004974,77.53847755970149,High,1.8749751243781094,50.9,3,1
BTP208 - Havanur Circle,2.556899353203797,3.4472913271301984,12.987950006827834,77.53755365175766,Medium,1.8974573863636364,56.8,2,1
"BTP210 - 50th cross, 12th Main , Rajajinagar",1.7635961660046136,2.0875128608626476,12.986993655784064,77.5551775596401,Low,1.912699228791774,58.6,1,0
BTP211 - Central Street Junction,3.4135682858549226,5.558927432642746,12.983323471178782,77.60346360896185,High,1.7879616306954438,36.7,3,1
BTP212 - Minto Junction,1.8844433381079126,2.480669393273444,12.960261304285714,77.57142081571428,Low,2.224,92.3,1,0
BTP213 - Royan Circle,1.572384019506121,1.7606214686348607,12.960757848606496,77.56831495368421,Low,2.884210526315789,99.4,1,0
BTP214 - 5th Main Chamrajpet  Junction,2.0026433395575505,2.333044872705528,12.966109929586068,77.54990258726592,Medium,1.9021052631578947,58.0,2,1
BTP215 - Vanivillas Junction,1.6449331264072962,2.136097943298722,12.946162915649131,77.5702324075469,Low,1.7873150684931507,36.1,1,0
BTP216 - Yediyur Junction,2.032706748098395,2.3624993317944973,12.93802209089189,77.57687954027875,Medium,2.1031645569620254,82.8,2,1
BTP217 - Baleyele Junction,1.4940211811066981,1.7826490582962684,12.957383822785122,77.56945376716024,Low,1.6576190476190478,20.7,1,0
BTP218 - Syndicate Bank Junction,2.0511416718573363,2.525385241170901,12.934808119808308,77.58443331246006,Medium,1.5648242811501598,9.5,2,1
BTP219 - Canara Bank Junction,1.694587918696162,2.08551951983296,12.931163036825396,77.58447701111112,Low,1.798095238095238,38.5,1,0
BTP220 - Puttanna Junction,1.485084955575332,1.7937557542233038,12.928846537837838,77.58284284401545,Low,1.8212355212355213,42.0,1,0
"BTP221 - 15th Cross, 24th Main, JP Nagar",1.4568601044904563,1.76722594588241,12.904821129473683,77.58624848105264,Low,2.0122105263157892,75.7,1,0
BTP222 - Delmia Circle,1.487463730453024,1.7604210884115221,12.905872203529412,77.59264487411765,Low,1.873294117647059,50.3,1,0
BTP225 - Geetha Junction,1.7848721632342883,2.223593686556553,12.928362390234375,77.58585931132812,Low,1.5727734375,11.2,1,0
"BTP226 - 33rd Cross, 11th Main, Jayanagar",1.8591505060300637,2.4628471226126183,12.92589586147959,77.58556115841837,Low,1.886045918367347,52.7,1,0
"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",41.56984947270056,104.49876270152528,12.988697655387826,77.62457261487876,Extreme,1.8477767935870129,45.6,8,3
